,filter,instrument,mjd,magpsf,sigmamagpsf
38,g,P48+ZTF,58654.2754745,18.3270098819939,0.029180529666001
39,r,P48+ZTF,58713.23614580001,18.034517395547,0.039305365917202996
40,g,P48+ZTF,58632.3375579,18.6331618740167,0.015597098186461001
41,i,P48+ZTF,59028.31464119999,18.8248379003263,0.040394455820226
42,r,P48+ZTF,58669.3165625,18.1287184883768,0.011736736202098
43,r,P48+ZTF,58781.09067130001,18.6560954274839,0.074690513179051
44,r,P48+ZTF,58635.3790972,18.5826660156935,0.013706049375777999
45,r,P48+ZTF,58681.2790278,18.126978985237802,0.026253414486318
46,i,P48+ZTF,58725.2294097,17.934222762865,0.018667375143345
47,r,P48+ZTF,58617.3586574,19.322881890442897,0.050480953273664
48,r,P48+ZTF,58612.4211574,19.708966950175398,0.038945158779013
49,r,P48+ZTF,58725.2375347,18.1707727854172,0.015587973102271002
50,r,P48+ZTF,58605.4013426,20.561078310813198,0.10671565122796198
51,r,P48+ZTF,58605.3794097,20.6739461245566,0.14010349527162302
52,i,P48+ZTF,59036.3256829,18.8472994813896,0.055838771559553
53,r,P48+ZTF,58632.27392359999,18.6479786169654,0.021732426049319
54,g,P48+ZTF,58737.129455999995,18.5926350112819,0.04562539309519201
55,r,P48+ZTF,59000.3339931,19.442131623120503,0.085053776960447
56,i,P48+ZTF,59001.3316898,18.631957839101897,0.032732110431318
57,g,P48+ZTF,58684.1913657,18.2754936315384,0.011602873645228997
58,r,P48+ZTF,58711.31094909999,18.056553487270698,0.031154033022731002
59,g,P48+ZTF,58745.1319097,18.6297512138223,0.019083379892606
60,r,P48+ZTF,58684.17289349999,18.100488497302102,0.012748726003455
61,g,P48+ZTF,58616.4556597,19.4180649805109,0.02781957312904
62,g,P48+ZTF,58703.1986458,18.188220987589897,0.020630277898253002
63,g,P48+ZTF,58742.1456829,18.5974130728885,0.047353902118422005
64,r,P48+ZTF,58697.15767359999,17.9880308767673,0.015410083619412
65,g,P48+ZTF,58635.4200694,18.6109842482432,0.014120492621738999
66,g,P48+ZTF,58691.3104745,18.260927462475102,0.011844267723483001
67,i,P48+ZTF,58679.2546528,18.011134659053,0.019648546659501
68,g,P48+ZTF,58616.46307869999,19.445194634594603,0.028876142703301005
69,r,P48+ZTF,58724.1643287,18.1392275191825,0.012027908570802
70,i,P48+ZTF,59080.247685199996,19.0487503683641,0.052911803409372994
71,r,P48+ZTF,58635.358125,18.578689290701,0.016317150390768
72,r,P48+ZTF,58607.3783449,20.1839808425895,0.073420739108563
73,i,P48+ZTF,59059.252731500004,19.0239355374928,0.05921650129204099
74,r,P48+ZTF,58714.1457407,18.0229121351024,0.014732002278826
75,g,P48+ZTF,58660.17302080001,18.2578836518794,0.025397509079165003
76,r,P48+ZTF,58644.3137153,18.3259354557058,0.016096112181893
77,g,P48+ZTF,58660.20342590001,18.3128925868172,0.011672117911146002
78,r,P48+ZTF,58641.29420140001,18.406621248078398,0.012727830220022
79,g,P48+ZTF,58599.25238430001,21.4641751988413,0.17245761018437603
80,r,P48+ZTF,58740.26398150001,18.400724555028102,0.07581567882165899
81,r,P48+ZTF,58641.33263890001,18.434329374249398,0.012702411674851002
82,r,P48+ZTF,58740.263078699994,18.3313106149996,0.065867470155617
83,g,P48+ZTF,58608.40317130001,20.1936138236146,0.069332711913599
84,g,P48+ZTF,58645.407963,18.340262397856698,0.012755791429825001
85,r,P48+ZTF,58638.288287,18.465033020685198,0.014105253887159998
86,r,P48+ZTF,58669.3280903,18.1371873228692,0.010460585474969999
87,r,P48+ZTF,58646.2513079,18.2994461051882,0.019036700485323
88,r,P48+ZTF,58644.29739580001,18.2715032816669,0.016287496783241002
89,i,P48+ZTF,59053.2529051,18.8538188605086,0.032208322985988996
90,r,P48+ZTF,58608.3591319,20.0402124485418,0.092534056636458
91,g,P48+ZTF,58727.14925930001,18.412095857031897,0.016760115176968
92,g,P48+ZTF,58647.3385995,18.3399996061093,0.023510032844297996
93,i,P48+ZTF,59041.17126159999,18.8643406977954,0.048490373246502
94,i,P48+ZTF,58675.2184954,17.977391468661,0.019153187172174
95,i,P48+ZTF,58719.163125,17.9506739369216,0.018249078586983998
96,g,P48+ZTF,58643.4266782,18.4806905747024,0.018244955468801997
97,g,P48+ZTF,58637.2663079,18.5609861016808,0.014820036560883999
98,g,P48+ZTF,58638.3517014,18.5284467119217,0.014589508129166002
99,r,P48+ZTF,58645.314606500004,18.316052745638,0.018374560380908
100,r,P48+ZTF,58678.21329859999,18.1440888764138,0.020730627759105
101,r,P48+ZTF,58605.400428199995,20.509311385394103,0.10244355547072802
102,i,P48+ZTF,59045.3078241,18.8706688060302,0.038392747303381006
103,i,P48+ZTF,58633.2830556,18.5712675146048,0.034517118179444
104,g,P48+ZTF,58643.333287,18.440905559344397,0.015741852031428
105,g,P48+ZTF,58741.130208300005,18.540678735757197,0.035372809026433
106,i,P48+ZTF,59015.372580999996,18.7908711766807,0.031047566889927002
107,r,P48+ZTF,58663.31723380001,18.143567869277398,0.013062018615118
108,g,P48+ZTF,58658.21689809999,18.2860854539368,0.012636982919174
109,r,P48+ZTF,58663.3039005,18.103553300134,0.010975647672821
