,band,telescope,obsmjd,mag,mag_err,alert
153,ZTF_r,P48,58608.3795718,20.192384237842802,0.1545761034473842,False
154,ZTF_g,P48,58608.4022685,20.243365640624184,0.08473076408892544,False
155,ZTF_g,P48,58608.40317130001,20.194139857236713,0.06923946847059817,False
156,ZTF_r,P48,58608.4945255,20.490207423925625,0.13421983778861524,False
157,ZTF_r,P48,58612.4211574,19.708384517816388,0.03883502405590945,False
158,ZTF_r,P48,58612.4616551,19.803930605340746,0.04284062335730248,False
159,ZTF_i,P48,58616.31910880001,19.345448691712754,0.06430390565627282,False
160,ZTF_r,P48,58616.3771065,19.350927217472968,0.036721105788928905,False
161,ZTF_r,P48,58616.3966204,19.36648119407445,0.03246568313381477,False
162,ZTF_g,P48,58616.4556597,19.417896806047924,0.02776141279687356,False
163,ZTF_g,P48,58616.4565741,19.43325264000836,0.030799354145308676,False
164,ZTF_g,P48,58616.46307869999,19.445304925263873,0.028882050486671064,False
165,ZTF_g,P48,58616.4843866,19.404836119549557,0.04408140550389067,False
166,ZTF_r,P48,58617.3178704,19.23011984766746,0.0420332681106181,False
167,ZTF_r,P48,58617.3378704,19.198371966879208,0.04243720211004856,False
168,ZTF_r,P48,58617.3586574,19.323074924938773,0.05021421581567431,False
169,ZTF_g,P48,58617.4154398,19.380257282972504,0.04124581126851784,False
170,ZTF_g,P48,58617.42019680001,19.304008899141177,0.035260340247122685,False
171,ZTF_g,P48,58617.44291669999,19.398388223756967,0.02749606874128346,False
172,ZTF_r,P48,58618.233912,19.494975562190536,0.09312836409709598,False
173,ZTF_r,P48,58618.3364931,19.144050092698816,0.07654806037609188,False
174,ZTF_r,P48,58618.3566898,19.251940679618453,0.05454659013699921,False
175,ZTF_g,P48,58618.4196181,19.09097381478941,0.09196691164040664,False
176,ZTF_g,P48,58618.44123840001,19.087336485750548,0.15423541550322584,False
177,ZTF_r,P48,58619.3503935,19.15854631056358,0.10464453389617484,False
178,ZTF_r,P48,58627.3956019,18.758605216315367,0.02561529999174352,False
179,ZTF_i,P48,58627.453912,18.85135925021633,0.03887232511320587,False
180,ZTF_r,P48,58628.35960650001,18.758513791742693,0.024360148441103315,False
181,ZTF_r,P48,58628.37633099999,18.734411649486578,0.02396691083188386,False
182,ZTF_r,P48,58628.3772454,18.770472846846786,0.024454335551402518,False
183,ZTF_r,P48,58632.27392359999,18.648154560545407,0.021672283781077103,False
184,ZTF_r,P48,58632.30057869999,18.68046585846066,0.021714638670496958,False
185,ZTF_r,P48,58632.3015509,18.657990858649512,0.02472467266092291,False
186,ZTF_r,P48,58632.33052080001,18.666907929806666,0.021073527583725302,False
187,ZTF_g,P48,58632.3366551,18.643789700638703,0.01580773834333587,False
188,ZTF_g,P48,58632.3375579,18.63312330793604,0.015633526859143713,False
189,ZTF_g,P48,58632.42513890001,18.658237940783007,0.01919204875710659,False
190,ZTF_g,P48,58632.4390046,18.757504514483816,0.02403035307530167,False
191,ZTF_i,P48,58633.2830556,18.571720486037158,0.03447339926851132,False
