,filter,instrument,mjd,magpsf,sigmamagpsf,alert
44,r,P48+ZTF,58635.3790972,18.5826660156935,0.013706049375778,False
45,r,P48+ZTF,58681.2790278,18.1269789852378,0.026253414486318,False
46,i,P48+ZTF,58725.2294097,17.934222762865,0.018667375143345,False
47,r,P48+ZTF,58617.3586574,19.3228818904429,0.050480953273664,False
48,r,P48+ZTF,58612.4211574,19.7089669501754,0.038945158779013,False
49,r,P48+ZTF,58725.2375347,18.1707727854172,0.015587973102271,False
50,r,P48+ZTF,58605.4013426,20.5610783108132,0.106715651227962,False
51,r,P48+ZTF,58605.3794097,20.6739461245566,0.140103495271623,False
52,i,P48+ZTF,59036.3256829,18.8472994813896,0.055838771559553,False
53,r,P48+ZTF,58632.2739236,18.6479786169654,0.021732426049319,False
54,g,P48+ZTF,58737.129456,18.5926350112819,0.045625393095192,False
55,r,P48+ZTF,59000.3339931,19.4421316231205,0.085053776960447,False
56,i,P48+ZTF,59001.3316898,18.6319578391019,0.032732110431318,False
57,g,P48+ZTF,58684.1913657,18.2754936315384,0.011602873645229,False
58,r,P48+ZTF,58711.3109491,18.0565534872707,0.031154033022731,False
59,g,P48+ZTF,58745.1319097,18.6297512138223,0.019083379892606,False
60,r,P48+ZTF,58684.1728935,18.1004884973021,0.012748726003455,False
61,g,P48+ZTF,58616.4556597,19.4180649805109,0.02781957312904,False
62,g,P48+ZTF,58703.1986458,18.1882209875899,0.020630277898253,False
63,g,P48+ZTF,58742.1456829,18.5974130728885,0.047353902118422,False
64,r,P48+ZTF,58697.1576736,17.9880308767673,0.015410083619412,False
65,g,P48+ZTF,58635.4200694,18.6109842482432,0.014120492621739,False
66,g,P48+ZTF,58691.3104745,18.2609274624751,0.011844267723483,False
67,i,P48+ZTF,58679.2546528,18.011134659053,0.019648546659501,False
68,g,P48+ZTF,58616.4630787,19.4451946345946,0.028876142703301,False
69,r,P48+ZTF,58724.1643287,18.1392275191825,0.012027908570802,False
70,i,P48+ZTF,59080.2476852,19.0487503683641,0.052911803409373,False
71,r,P48+ZTF,58635.358125,18.578689290701,0.016317150390768,False
72,r,P48+ZTF,58607.3783449,20.1839808425895,0.073420739108563,False
73,i,P48+ZTF,59059.2527315,19.0239355374928,0.059216501292041,False
74,r,P48+ZTF,58714.1457407,18.0229121351024,0.014732002278826,False
75,g,P48+ZTF,58660.1730208,18.2578836518794,0.025397509079165,False
76,r,P48+ZTF,58644.3137153,18.3259354557058,0.016096112181893,False
77,g,P48+ZTF,58660.2034259,18.3128925868172,0.011672117911146,False
78,r,P48+ZTF,58641.2942014,18.4066212480784,0.012727830220022,False
79,g,P48+ZTF,58599.2523843,21.4641751988413,0.172457610184376,False
80,r,P48+ZTF,58740.2639815,18.4007245550281,0.075815678821659,False
81,r,P48+ZTF,58641.3326389,18.4343293742494,0.012702411674851,False
82,r,P48+ZTF,58740.2630787,18.3313106149996,0.065867470155617,False
83,g,P48+ZTF,58608.4031713,20.1936138236146,0.069332711913599,False
84,g,P48+ZTF,58645.407963,18.3402623978567,0.012755791429825,False
85,r,P48+ZTF,58638.288287,18.4650330206852,0.01410525388716,False
86,r,P48+ZTF,58669.3280903,18.1371873228692,0.01046058547497,False
87,r,P48+ZTF,58646.2513079,18.2994461051882,0.019036700485323,False
88,r,P48+ZTF,58644.2973958,18.2715032816669,0.016287496783241,False
89,i,P48+ZTF,59053.2529051,18.8538188605086,0.032208322985989,False
90,r,P48+ZTF,58608.3591319,20.0402124485418,0.092534056636458,False
91,g,P48+ZTF,58727.1492593,18.4120958570319,0.016760115176968,False
92,g,P48+ZTF,58647.3385995,18.3399996061093,0.023510032844298,False
93,i,P48+ZTF,59041.1712616,18.8643406977954,0.048490373246502,False
94,i,P48+ZTF,58675.2184954,17.977391468661,0.019153187172174,False
95,i,P48+ZTF,58719.163125,17.9506739369216,0.018249078586984,False
96,g,P48+ZTF,58643.4266782,18.4806905747024,0.018244955468802,False
97,g,P48+ZTF,58637.2663079,18.5609861016808,0.014820036560884,False
98,g,P48+ZTF,58638.3517014,18.5284467119217,0.014589508129166,False
99,r,P48+ZTF,58645.3146065,18.316052745638,0.018374560380908,False
100,r,P48+ZTF,58678.2132986,18.1440888764138,0.020730627759105,False
