sigma,sigma.err,ampl,ampl.err,fval,chi2,chi2dof,filename,humidity,filter,obsmjd,ccdid,amp_id,gain,readnoi,darkcur,magzp,magzpunc,magzprms,clrcoeff,clrcounc,zpclrcov,zpmed,zpavg,zprmsall,clrmed,clravg,clrrms,qid,rcid,seeing,maglim,status,filterid,fieldid,moonalt,moonillf,target_x,target_y,data_hasnan
5.869671281613171,0.16859050933407926,4.91674039524077,24.16575554313052,3985.868500013911,623.8463134765625,1.0013584485980136,ztf_20180609272836_000634_zr_c10_o.fits,26.0,ZTF_r,58278.2728472,10,3,5.99387539772916,10.0,1.0,26.275,1.385e-06,0.019418,0.102236,3.092e-06,-1.9e-06,26.304001,26.310387,0.03345,0.518,0.614,0.266417,4,39,2.034,21.31,1,2,634,-38.2589,-0.255411,1791.4762871742646,908.6046607473558,False
5.1665381280802345,0.14324815279432782,1693.0172910932474,17.163969713095486,3826.3509349839014,623.88623046875,1.0014225208166132,ztf_20190727186829_000634_zr_c10_o.fits,48.0,ZTF_r,58691.1868519,10,3,6.2,10.0,1.0,26.178296,1.5872e-06,0.021004,0.093094,3.538e-06,-2.17e-06,26.23,26.23539,0.032703,0.518,0.613,0.269258,4,39,1.292,21.75,1,2,634,-38.5812,-0.29152,1889.8680693686636,797.5122208570525,False
5.154104438971767,0.1484186912137865,-13.211769564414983,18.07079011121179,3823.3123252971254,623.8138427734375,1.0013063286893058,ztf_20180716316169_000634_zr_c10_o.fits,57.0,ZTF_r,58315.3161921,10,3,6.2,10.0,1.0,26.116734,1.6328e-06,0.021219,0.104168,3.6523e-06,-2.24e-06,26.174,26.180585,0.034991,0.518,0.613,0.267099,4,39,1.663,21.45,1,2,634,-25.8231,0.146512,1800.390293312928,951.121795440931,False
8.756163092612853,0.25256363814365196,-24.68188699234356,33.098213283321094,4485.801212493908,623.7872314453125,1.001263613876906,ztf_20180701332732_000634_zr_c10_o.fits,38.0,ZTF_r,58300.3327662,10,3,6.2,10.0,1.0,26.182539,2.1256e-06,0.024048,0.105928,4.7513e-06,-2.92e-06,26.24,26.247542,0.037051,0.518,0.614,0.266093,4,39,1.777,20.73,1,2,634,28.9798,-0.914921,1796.5934972342802,1018.0715847748119,False
3.778536233351405,0.10537377393922524,24.935618198274828,16.56210180100183,3435.2211859152894,623.8189697265625,1.0013145581485754,ztf_20180715316157_000634_zg_c10_o.fits,47.0,ZTF_g,58314.316169,10,3,6.2,10.0,1.0,26.065656,2.2707e-06,0.025112,-0.02443,5.1267e-06,-3.13e-06,26.054001,26.050761,0.025945,0.514,0.61,0.266882,4,39,2.131,21.46,1,1,634,-31.2198,0.0720842,1800.7649734028364,941.0264205174128,False
6.1249645467484015,0.007641791036339077,17.643439116756223,30.505630850654935,4039.123764262668,624.9844970703125,1.0031853885558788,ztf_20180414475451_000634_zr_c10_o.fits,13.0,ZTF_r,58222.475463,10,3,6.05920463747479,10.0,1.0,26.275,1.8677e-06,0.022589,0.111281,4.2033e-06,-2.57e-06,26.315001,26.321501,0.037186,0.517,0.611,0.265438,4,39,2.83,20.83,1,2,634,-17.5042,-0.0300784,1792.6004816878908,924.3167684557513,False
7.574845399751668,0.21607882384747235,13.985550495802185,44.928731514007204,4304.562526394093,623.7237548828125,1.0011617253335674,ztf_20180427478252_000634_zg_c10_o.fits,39.0,ZTF_g,58235.4782986,10,3,5.97567140099298,10.0,1.0,26.325,5.1107e-06,0.034275,-0.014661,1.33923e-05,-7.63e-06,26.264,26.261827,0.034452,0.489,0.57,0.238353,4,39,3.2,20.32,1,1,634,5.03933,0.927271,1796.7574607192262,884.5329179069796,False
29.81775979072494,0.8436719569359798,15.233881847501173,145.59977399955554,6017.584460552111,623.6732177734375,1.0010806063779094,ztf_20180331446493_000634_zg_c10_o.fits,9.0,ZTF g,58208.4465856,10,3,4.07812570054095,10.0,1.0,26.325,1.68213e-05,0.040169,-0.018411,5.29535e-05,-2.798e-05,25.851999,25.854862,0.040331,0.471,0.528,0.196149,4,39,2.427,19.07,1,1,634,37.63,0.999946,1786.538786106536,853.1038236504332,False
6.855521141997235,0.19995670700811033,46.94234673861832,36.18295265343984,4012.8987657460048,599.0770874023438,0.9616004613199739,ztf_20180411447523_000634_zr_c10_o.fits,8.0,ZTF_r,58219.4475347,10,3,5.78490024485233,10.0,1.0,26.275,2.3093e-06,0.025252,0.115306,5.1701e-06,-3.17e-06,26.264,26.27193,0.039811,0.518,0.613,0.266928,4,39,3.024,20.68,1,2,634,-4.17885,-0.21799,1782.9761495128614,892.5196009003988,True
8.484764350462946,0.2444435072477755,-25.61455989164379,37.07368809668861,4446.510734708909,623.8218383789062,1.0013191627269764,ztf_20180624272292_000634_zr_c10_o.fits,12.0,ZTF_r,58293.2724421,10,3,6.2,10.0,1.0,26.270048,1.799e-06,0.022238,0.110685,4.0191e-06,-2.47e-06,26.330999,26.337936,0.037006,0.518,0.613,0.267233,4,39,2.045,20.69,1,2,634,37.1855,0.859179,1792.6009165107507,861.2884338971455,False
