,obsmjd,mag,mag_err,fid
1016,58956.4855,19.302600860595703,0.21013399958610535,2
1018,58961.458,18.90290069580078,0.10104399919509888,2
1019,58964.3825,19.207599639892578,0.10417000204324722,1
1021,58964.3825,19.207599639892578,0.10417000204324722,1
1022,58964.4227,18.958200454711914,0.08463399857282639,2
1023,58967.3831,18.98270034790039,0.10313499718904495,2
1024,58967.3831,18.98270034790039,0.10313499718904495,2
1025,58967.4363,19.291099548339844,0.15515999495983124,1
1026,58970.4143,19.06049919128418,0.10053399950265884,2
1028,58970.4143,19.06049919128418,0.10053399950265884,2
1029,58970.4645,19.303699493408203,0.10941100120544434,1
1030,58973.354,18.958200454711914,0.113755002617836,2
1032,58973.354,18.958200454711914,0.113755002617836,2
1033,58973.4642,19.299699783325195,0.11195900291204453,1
1035,58980.3144,19.051000595092773,0.12110599875450134,2
1036,58980.3144,19.051000595092773,0.12110599875450134,2
1037,58980.3986,19.302200317382812,0.17961500585079193,1
1038,58984.4021,19.095300674438477,0.09358499944210052,2
1039,58985.3781,19.05500030517578,0.1099189966917038,2
1040,58985.3781,19.05500030517578,0.1099189966917038,2
1041,58985.4211,19.40130043029785,0.13217799365520477,1
1043,58986.2952,19.08009910583496,0.09239400178194046,2
1044,58986.2952,19.08009910583496,0.09239400178194046,2
1045,58986.3967,19.304500579833984,0.08495400100946426,1
1046,58987.3315,19.09670066833496,0.08895599842071533,2
1047,58987.3315,19.09670066833496,0.08895599842071533,2
1048,58987.43,19.395299911499023,0.11349400132894516,1
1049,58991.2731,19.015499114990234,0.10005199909210205,2
1051,58991.3187,19.328699111938477,0.10843399912118912,1
1052,58991.2731,19.015499114990234,0.10005199909210205,2
1053,58991.3187,19.328699111938477,0.10843399912118912,1
1054,58992.294,19.026599884033203,0.08312799781560898,2
1055,58992.294,19.026599884033203,0.08312799781560898,2
1056,58992.333,19.34309959411621,0.11858999729156494,1
1057,58994.415,19.31999969482422,0.10981299728155136,1
1058,58995.2751,19.07710075378418,0.08101200312376022,2
1059,58995.2751,19.07710075378418,0.08101200312376022,2
1060,58995.3201,19.370100021362305,0.11407499760389328,1
1061,58996.3103,19.135799407958984,0.0894320011138916,2
1063,58997.2986,19.156299591064453,0.08459000289440155,2
1064,58997.2986,19.156299591064453,0.08459000289440155,2
1065,58997.3831,19.433399200439453,0.09275799989700317,1
1066,58998.3626,19.341800689697266,0.10083100199699402,1
1067,58999.3367,19.120500564575195,0.11203200370073318,2
1069,58999.3367,19.120500564575195,0.11203200370073318,2
1070,58999.401,19.378000259399414,0.1421079933643341,1
1074,59000.3943,19.09910011291504,0.10977499932050705,2
1077,59001.3932,19.348499298095703,0.1449030041694641,1
1078,59004.2213,19.236600875854492,0.21266800165176392,1
1082,59004.2213,19.236600875854492,0.21266800165176392,1
1083,59004.2875,19.148099899291992,0.1318809986114502,2
1084,59005.2248,19.41629981994629,0.3096010088920593,1
1085,59009.3622,19.21299934387207,0.1573379933834076,2
1086,59012.3125,19.44580078125,0.10435199737548828,1
1087,59015.3097,19.554000854492188,0.13856400549411774,1
1089,59015.3176,19.140399932861328,0.11830099672079086,2
1090,59015.3097,19.554000854492188,0.13856400549411774,1
1091,59015.3176,19.140399932861328,0.11830099672079086,2
1092,59018.3389,19.53380012512207,0.1265449970960617,1
1095,59024.2424,19.161500930786133,0.08867699652910233,2
1096,59024.2906,19.436599731445312,0.22096900641918182,1
1097,59024.2424,19.161500930786133,0.08867699652910233,2
1098,59024.2906,19.436599731445312,0.22096900641918182,1
1099,59027.2364,19.546600341796875,0.15810100734233856,1
1101,59027.2364,19.546600341796875,0.15810100734233856,1
1102,59027.2882,19.174100875854492,0.09500599652528763,2
1104,59030.3505,19.559900283813477,0.19066199660301208,1
1105,59033.3323,19.354999542236328,0.18919099867343903,2
1106,59034.2285,19.650100708007812,0.23590399324893951,1
