index,filter,magpsf,sigmamagpsf,instrument,mjd
294,UVW2,19.29,0.09,Swift,58705.7527999999
295,V,17.64,0.18,Swift,58705.7552
296,UVM2,19.14,0.08,Swift,58705.7587000001
297,g,18.23,0.09,P48+ZTF,58708.1516
298,g,18.26,0.08,P48+ZTF,58708.1719
299,g,18.16,0.08,P48+ZTF,58708.1727999998
300,g,18.23,0.13,P48+ZTF,58708.3500000001
301,g,18.23,0.09,P48+ZTF,58709.1699000001
302,r,18.11,0.07,P48+ZTF,58709.2565000001
303,i,17.89,0.08,P48+ZTF,58710.2326000002
304,g,18.24,0.09,P48+ZTF,58711.1488000001
305,g,18.23,0.09,P48+ZTF,58711.2209999999
306,g,18.27,0.08,P48+ZTF,58711.2401999999
307,r,18.13,0.06,P48+ZTF,58711.2842999999
308,r,18.12,0.09,P48+ZTF,58711.3108999999
309,g,18.25,0.07,P48+ZTF,58712.1475
310,g,18.24,0.08,P48+ZTF,58712.1730999998
311,g,18.21,0.08,P48+ZTF,58712.1902999999
312,UVW1,18.88,0.1,Swift,58712.4134
313,U,18.61,0.14,Swift,58712.4142999998
314,B,18.48,0.2,Swift,58712.4147999999
315,UVW2,19.37,0.09,Swift,58712.4164999998
316,V,17.89,0.2,Swift,58712.4177999999
317,UVM2,19.16,0.08,Swift,58712.4199999999
318,r,18.13,0.09,P48+ZTF,58713.2360999999
319,r,18.14,0.07,P48+ZTF,58714.1457000002
320,g,18.24,0.08,P48+ZTF,58714.1497999998
321,g,18.27,0.07,P48+ZTF,58716.1855000001
322,g,18.27,0.08,P48+ZTF,58716.2645999999
323,g,18.31,0.07,P48+ZTF,58718.1508
324,g,18.28,0.06,P48+ZTF,58718.1743000001
325,g,18.27,0.06,P48+ZTF,58718.1752999998
326,g,18.29,0.06,P48+ZTF,58718.2670999998
327,i,17.94,0.06,P48+ZTF,58719.1631
328,r,18.25,0.07,P48+ZTF,58724.1642999998
329,g,18.4,0.07,P48+ZTF,58724.1845999998
330,g,18.38,0.09,P48+ZTF,58725.1656
331,g,18.38,0.09,P48+ZTF,58725.1723000002
332,i,17.98,0.06,P48+ZTF,58725.2292999998
333,r,18.23,0.06,P48+ZTF,58725.2374999998
334,g,18.41,0.08,P48+ZTF,58727.1491999999
335,g,18.4,0.07,P48+ZTF,58727.1510000001
336,g,18.43,0.08,P48+ZTF,58727.1702000001
337,g,18.46,0.07,P48+ZTF,58728.1513
338,r,18.27,0.07,P48+ZTF,58728.2050999999
339,r,18.31,0.08,P48+ZTF,58728.2348000002
340,g,18.49,0.09,P48+ZTF,58732.1433000001
341,g,18.49,0.09,P48+ZTF,58732.1479000002
342,g,18.52,0.09,P48+ZTF,58732.1691000001
343,r,18.31,0.07,P48+ZTF,58732.2116
344,i,18.06,0.08,P48+ZTF,58733.1450999999
345,g,18.49,0.08,P48+ZTF,58733.1693000002
346,g,18.51,0.09,P48+ZTF,58733.2086999998
347,r,18.35,0.08,P48+ZTF,58733.2480000001
348,r,18.34,0.07,P48+ZTF,58734.1444999999
349,g,18.51,0.12,P48+ZTF,58734.1861999999
350,g,18.56,0.11,P48+ZTF,58734.1871000002
351,g,18.52,0.1,P48+ZTF,58734.2085000002
352,g,18.6,0.11,P48+ZTF,58737.1294
353,g,18.56,0.1,P48+ZTF,58737.1302999998
354,r,18.35,0.09,P48+ZTF,58737.1867999998
355,g,18.57,0.12,P48+ZTF,58738.1211000001
356,g,18.51,0.11,P48+ZTF,58738.1335999998
357,g,18.59,0.12,P48+ZTF,58739.1211999999
358,g,18.56,0.11,P48+ZTF,58740.1214999999
359,g,18.51,0.11,P48+ZTF,58740.1225999999
360,g,18.54,0.12,P48+ZTF,58740.1455999999
361,r,18.33,0.11,P48+ZTF,58740.2629999998
362,r,18.4,0.14,P48+ZTF,58740.2639000001
363,g,18.57,0.11,P48+ZTF,58741.1217999999
364,g,18.57,0.08,P48+ZTF,58741.1301000002
365,g,18.6,0.11,P48+ZTF,58742.1455999999
366,g,18.62,0.08,P48+ZTF,58743.1203999999
367,g,18.56,0.09,P48+ZTF,58743.1217999998
368,g,18.61,0.09,P48+ZTF,58743.1447999999
369,g,18.65,0.08,P48+ZTF,58745.1318000001
